用户号,一级标签,二级标签,推荐指数,业务品牌,用户状态,状态改变时间,预存款,套餐,销售品,资费,入网时间,销售品生效时间,销售品失效时间,机顶盒编号
10012,偏好节目类型,恐怖,1.8593067964,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10012,偏好节目类型,动作,1.84166185188,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10012,偏好节目类型,综艺娱乐,1.8270055558,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10012,偏好语种,其他,1.08091985222,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10012,偏好语种,国语,1.01723096316,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10012,偏好地区,其他国家,0.971328015074,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10012,偏好语种,日语,0.946049298272,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10012,偏好地区,法国,0.937659699933,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10012,偏好地区,美国,0.923750747514,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10012,偏好语种,英语,0.909085617594,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10012,偏好地区,大陆,0.906343158044,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
10018,偏好节目类型,电视剧场,2.14096519686,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好节目类型,恐怖,2.09279873801,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好节目类型,综艺娱乐,2.05287744632,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好节目类型,历史,2.02351449835,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好语种,其他,0.900093132989,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好地区,其他国家,0.888615439456,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好地区,法国,0.8567749558,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好地区,美国,0.847284532,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好语种,国语,0.841885614561,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好地区,大陆,0.817338877918,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好语种,日语,0.779867228672,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10018,偏好语种,英语,0.757062429158,互动电视,正常        ,20170716,0,乐惠套餐-15M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070824,20160601,20500101,10412
10025,偏好节目类型,生活服务,0.765958323961,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好地区,其他,0.727462055186,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好语种,德语,0.724089968871,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好节目类型,广告,0.720337855086,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好语种,法语,0.701305042958,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好地区,台湾,0.689901908683,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好节目类型,恐怖,0.673155147746,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好节目类型,大陆剧场,0.651264560154,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好地区,其他国家,0.641863092148,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好地区,法国,0.641784194322,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好语种,其他,0.629018752291,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10025,偏好语种,国语,0.581659158605,互动电视,正常        ,20090228,0,,宽带用户优惠购(399元)(26.5元/月),宽带用户优惠购(399元)(26.5元/月)(资费),20070913,20120305,20500101,10114
10026,偏好节目类型,恐怖,1.42227872207,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好节目类型,动作,1.36365801623,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好节目类型,纪录片,1.36031093848,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好节目类型,大陆剧场,1.35882357214,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好地区,台湾,1.30475097963,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好语种,法语,1.20282617963,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好地区,其他国家,1.19591208491,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好地区,法国,1.16317005862,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好地区,大陆,1.13981366744,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好语种,其他,1.08394680155,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好语种,日语,0.964752756327,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10026,偏好语种,英语,0.916271416338,互动电视,正常        ,20090228,105,"乐惠32.5节目包-2年-780元(送10M宽带1年,限新宽带)",互动+联合宽带-59元包,互动+联合宽带-59元包,20070910,20160225,20500101,10332
10039,偏好节目类型,广告,0.980776997039,互动电视,正常        ,20121017,0,,预存入网(600元)(26.5元/月),互动标准包-包月-预存600,20121017,20121017,20500101,11205
10039,偏好节目类型,恐怖,0.901357997575,互动电视,正常        ,20121017,0,,预存入网(600元)(26.5元/月),互动标准包-包月-预存600,20121017,20121017,20500101,11205
10039,偏好节目类型,纪录片,0.864598190423,互动电视,正常        ,20121017,0,,预存入网(600元)(26.5元/月),互动标准包-包月-预存600,20121017,20121017,20500101,11205
10039,偏好节目类型,综艺娱乐,0.862463158796,互动电视,正常        ,20121017,0,,预存入网(600元)(26.5元/月),互动标准包-包月-预存600,20121017,20121017,20500101,11205
10050,偏好节目类型,综艺娱乐,1.79472120763,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好节目类型,动作,1.7776350522,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好节目类型,电视剧场,1.77148621914,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好节目类型,大陆剧场,1.76276713186,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好语种,其他,0.991204494361,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好地区,其他国家,0.93953352477,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好语种,国语,0.937107574272,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好地区,法国,0.903973392528,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好地区,美国,0.89464752138,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好地区,日本,0.882800177947,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好语种,日语,0.876377859773,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10050,偏好语种,英语,0.834437586316,互动电视,正常        ,20130628,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130628,20130628,20500101,10029
10051,偏好语种,德语,1.18891696029,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好语种,国语,1.0324907462,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好地区,其他,0.980894323887,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好语种,日语,0.970659236101,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好节目类型,生活服务,0.959844717551,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好语种,英语,0.926572568997,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好地区,法国,0.920943264185,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好地区,美国,0.916369204522,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好节目类型,恐怖,0.907428743216,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好节目类型,广告,0.900158767979,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好节目类型,动作,0.888056152614,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10051,偏好地区,大陆,0.864054006878,互动电视,正常        ,20130621,0,6M融合套餐-提速提价1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130621,20130621,20500101,10079
10055,偏好节目类型,生活服务,0.773657603861,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好节目类型,广告,0.727578565965,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好节目类型,恐怖,0.679921586254,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好节目类型,大陆剧场,0.657810958282,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好地区,其他,0.653896149364,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好语种,德语,0.650865071329,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好语种,法语,0.630384311938,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好地区,台湾,0.620134340081,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好地区,其他国家,0.576953535077,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好地区,法国,0.576882615936,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好语种,其他,0.565408102139,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10055,偏好语种,国语,0.522837832356,互动电视,正常        ,20130720,128.56,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130622,20130622,20500101,10157
10056,偏好地区,其他,1.10709359057,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
10056,偏好地区,台湾,1.07770529949,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
10056,偏好地区,其他国家,1.02516184937,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
10056,偏好地区,美国,1.00329586121,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
10056,偏好节目类型,生活服务,0.815035784442,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
10056,偏好节目类型,广告,0.75985844537,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
10056,偏好节目类型,综艺娱乐,0.7188696903,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
10056,偏好节目类型,大陆剧场,0.704487351603,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
10056,偏好语种,德语,0.668958579805,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
10056,偏好语种,法语,0.647908472311,互动电视,正常        ,20130622,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130622,20130622,20500101,10337
