用户号,机顶盒设备号,节目名称,节目ID,观看次数,分类,二级目录,分类名称,二级目录ID,分类名称ID,观看时长,点播日期,最早观看时间,最近观看时间,观看时间跨度,语种,地区,时间跨度,使用时长,总观看时长,一级标签,二级标签,地区参数,字母语种,正题名
10429,10550,精灵梦叶罗丽 第五季,1543,1,今日上线/大陆剧场,今日上线,大陆剧场,7,11,60,,2017-09-18 18:33,2017-09-18 18:33,0.000000,国语,大陆,6808740.000000,7841220.000000,573000,语言,中文,大陆,中文,精灵梦叶罗丽 第五季
10292,11253,白夜追凶,1434,1,热门影视/大陆剧场,热门影视,大陆剧场,8,11,34140,,2017-09-24 15:29,2017-09-24 15:29,0.000000,国语,大陆,0.000000,0.000000,34140,节目分类,大陆剧场,大陆,中文,白夜追凶
10292,11253,白夜追凶,1434,1,热门影视/大陆剧场,热门影视,大陆剧场,8,11,34140,,2017-09-24 15:29,2017-09-24 15:29,0.000000,国语,大陆,0.000000,0.000000,34140,地区,大陆,大陆,中文,白夜追凶
10292,11253,白夜追凶,1434,1,热门影视/大陆剧场,热门影视,大陆剧场,8,11,34140,,2017-09-24 15:29,2017-09-24 15:29,0.000000,国语,大陆,0.000000,0.000000,34140,节目归属,热门影视,大陆,中文,白夜追凶
10292,11253,白夜追凶,1434,1,热门影视/大陆剧场,热门影视,大陆剧场,8,11,34140,,2017-09-24 15:29,2017-09-24 15:29,0.000000,国语,大陆,0.000000,0.000000,34140,语言,中文,大陆,中文,白夜追凶
10246,10202,变形金刚,386,1,精彩点/欧美剧场,精彩点,欧美剧场,2,13,2400,,2017-07-06 19:44,2017-07-06 19:44,0.000000,英语,美国,443940.000000,7884420.000000,846660,节目分类,欧美剧场,美国,中文,变形金刚
10246,10202,变形金刚,386,1,精彩点/欧美剧场,精彩点,欧美剧场,2,13,2400,,2017-07-06 19:44,2017-07-06 19:44,0.000000,英语,美国,443940.000000,7884420.000000,846660,地区,美国,美国,中文,变形金刚
10246,10202,变形金刚,386,1,精彩点/欧美剧场,精彩点,欧美剧场,2,13,2400,,2017-07-06 19:44,2017-07-06 19:44,0.000000,英语,美国,443940.000000,7884420.000000,846660,节目归属,精彩点,美国,中文,变形金刚
10246,10202,变形金刚,386,1,精彩点/欧美剧场,精彩点,欧美剧场,2,13,2400,,2017-07-06 19:44,2017-07-06 19:44,0.000000,英语,美国,443940.000000,7884420.000000,846660,语言,中文,美国,中文,变形金刚
11041,10732,中国新歌声 第二季：杰伦Eason对唱,118,5,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,14700,,2017-08-09 12:46,2017-09-29 14:30,4412640.000000,国语,大陆,7702380.000000,7811760.000000,236400,节目分类,综艺娱乐,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
11041,10732,中国新歌声 第二季：杰伦Eason对唱,118,5,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,14700,,2017-08-09 12:46,2017-09-29 14:30,4412640.000000,国语,大陆,7702380.000000,7811760.000000,236400,地区,大陆,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
11041,10732,中国新歌声 第二季：杰伦Eason对唱,118,5,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,14700,,2017-08-09 12:46,2017-09-29 14:30,4412640.000000,国语,大陆,7702380.000000,7811760.000000,236400,节目归属,精彩点,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
11041,10732,中国新歌声 第二季：杰伦Eason对唱,118,5,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,14700,,2017-08-09 12:46,2017-09-29 14:30,4412640.000000,国语,大陆,7702380.000000,7811760.000000,236400,语言,中文,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10418,11058,中国新歌声 第二季：杰伦Eason对唱,118,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,19320,,2017-07-26 13:39,2017-07-26 14:20,2460.000000,国语,大陆,1477680.000000,7164720.000000,102912.27,节目分类,综艺娱乐,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10418,11058,中国新歌声 第二季：杰伦Eason对唱,118,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,19320,,2017-07-26 13:39,2017-07-26 14:20,2460.000000,国语,大陆,1477680.000000,7164720.000000,102912.27,地区,大陆,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10418,11058,中国新歌声 第二季：杰伦Eason对唱,118,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,19320,,2017-07-26 13:39,2017-07-26 14:20,2460.000000,国语,大陆,1477680.000000,7164720.000000,102912.27,节目归属,精彩点,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10418,11058,中国新歌声 第二季：杰伦Eason对唱,118,2,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,19320,,2017-07-26 13:39,2017-07-26 14:20,2460.000000,国语,大陆,1477680.000000,7164720.000000,102912.27,语言,中文,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10311,11110,中国新歌声 第二季：杰伦Eason对唱,118,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,6120,,2017-07-22 23:49,2017-07-22 23:49,0.000000,国语,大陆,0.000000,3112200.000000,53760,节目分类,综艺娱乐,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10311,11110,中国新歌声 第二季：杰伦Eason对唱,118,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,6120,,2017-07-22 23:49,2017-07-22 23:49,0.000000,国语,大陆,0.000000,3112200.000000,53760,地区,大陆,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10311,11110,中国新歌声 第二季：杰伦Eason对唱,118,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,6120,,2017-07-22 23:49,2017-07-22 23:49,0.000000,国语,大陆,0.000000,3112200.000000,53760,节目归属,精彩点,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
10311,11110,中国新歌声 第二季：杰伦Eason对唱,118,1,精彩点/综艺娱乐,精彩点,综艺娱乐,2,21,6120,,2017-07-22 23:49,2017-07-22 23:49,0.000000,国语,大陆,0.000000,3112200.000000,53760,语言,中文,大陆,中文,中国新歌声 第二季：杰伦Eason对唱
11075,10013,大军师司马懿之军师联盟,523,42,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2820,,2017-07-15 21:32,2017-09-24 21:30,6134280.000000,国语,大陆,6134280.000000,6603840.000000,303180,节目分类,大陆剧场,大陆,中文,大军师司马懿之军师联盟
11075,10013,大军师司马懿之军师联盟,523,42,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2820,,2017-07-15 21:32,2017-09-24 21:30,6134280.000000,国语,大陆,6134280.000000,6603840.000000,303180,地区,大陆,大陆,中文,大军师司马懿之军师联盟
11075,10013,大军师司马懿之军师联盟,523,42,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2820,,2017-07-15 21:32,2017-09-24 21:30,6134280.000000,国语,大陆,6134280.000000,6603840.000000,303180,节目归属,精彩点,大陆,中文,大军师司马懿之军师联盟
11075,10013,大军师司马懿之军师联盟,523,42,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2820,,2017-07-15 21:32,2017-09-24 21:30,6134280.000000,国语,大陆,6134280.000000,6603840.000000,303180,语言,中文,大陆,中文,大军师司马懿之军师联盟
10395,10396,大军师司马懿之军师联盟,523,45,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2934.15,20170701,2017-07-01 00:00,2017-07-10 00:00,777600.000000,国语,大陆,777600.000000,7862400.000000,65239.95,节目分类,大陆剧场,大陆,中文,大军师司马懿之军师联盟
10395,10396,大军师司马懿之军师联盟,523,45,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2934.15,20170701,2017-07-01 00:00,2017-07-10 00:00,777600.000000,国语,大陆,777600.000000,7862400.000000,65239.95,地区,大陆,大陆,中文,大军师司马懿之军师联盟
10395,10396,大军师司马懿之军师联盟,523,45,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2934.15,20170701,2017-07-01 00:00,2017-07-10 00:00,777600.000000,国语,大陆,777600.000000,7862400.000000,65239.95,节目归属,精彩点,大陆,中文,大军师司马懿之军师联盟
10395,10396,大军师司马懿之军师联盟,523,45,精彩点/大陆剧场,精彩点,大陆剧场,2,11,2934.15,20170701,2017-07-01 00:00,2017-07-10 00:00,777600.000000,国语,大陆,777600.000000,7862400.000000,65239.95,语言,中文,大陆,中文,大军师司马懿之军师联盟
10316,10376,秦时丽人明月心,1515,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,120,,2017-08-15 19:31,2017-08-15 19:31,0.000000,国语,大陆,2670780.000000,6653040.000000,222600,节目分类,大陆剧场,大陆,中文,秦时丽人明月心
10316,10376,秦时丽人明月心,1515,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,120,,2017-08-15 19:31,2017-08-15 19:31,0.000000,国语,大陆,2670780.000000,6653040.000000,222600,地区,大陆,大陆,中文,秦时丽人明月心
10316,10376,秦时丽人明月心,1515,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,120,,2017-08-15 19:31,2017-08-15 19:31,0.000000,国语,大陆,2670780.000000,6653040.000000,222600,节目归属,精彩点,大陆,中文,秦时丽人明月心
10316,10376,秦时丽人明月心,1515,1,精彩点/大陆剧场,精彩点,大陆剧场,2,11,120,,2017-08-15 19:31,2017-08-15 19:31,0.000000,国语,大陆,2670780.000000,6653040.000000,222600,语言,中文,大陆,中文,秦时丽人明月心
10533,10098,秦时丽人明月心,1515,2,精彩点/大陆剧场,精彩点,大陆剧场,2,11,5598.01,20170904,2017-09-04 00:00,2017-09-04 00:00,0.000000,国语,大陆,5184000.000000,6652800.000000,519997.23000000004,节目分类,大陆剧场,大陆,中文,秦时丽人明月心
10533,10098,秦时丽人明月心,1515,2,精彩点/大陆剧场,精彩点,大陆剧场,2,11,5598.01,20170904,2017-09-04 00:00,2017-09-04 00:00,0.000000,国语,大陆,5184000.000000,6652800.000000,519997.23000000004,地区,大陆,大陆,中文,秦时丽人明月心
